title,imdb_rating,cast_1,cast_2,cast_3
Avengers: Endgame,8.4,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Pirates of the Caribbean: On Stranger Tides,6.6,Johnny Depp,Penélope Cruz,Ian McShane
Avengers: Age of Ultron,7.3,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Star Wars Episode VII: The Force Awakens,7.9,Daisy Ridley,John Boyega,Oscar Isaac
Avengers: Infinity War,8.5,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Pirates of the Caribbean: At World’s End,7.1,Johnny Depp,Orlando Bloom,Keira Knightley
Justice League,6.1,Ben Affleck,Gal Gadot,Jason Momoa
Spectre,6.8,Daniel Craig,Christoph Waltz,Léa Seydoux
Star Wars: The Rise of Skywalker,6.5,Daisy Ridley,John Boyega,Oscar Isaac
Solo: A Star Wars Story,6.9,Alden Ehrenreich,Woody Harrelson,Emilia Clarke
John Carter,6.6,Taylor Kitsch,Lynn Collins,Willem Dafoe
Batman v Superman: Dawn of Justice,6.5,Ben Affleck,Henry Cavill,Amy Adams
Star Wars Episode VIII: The Last Jedi,6.9,Daisy Ridley,John Boyega,Mark Hamill
The Lion King,6.9,Donald Glover,Beyoncé,Seth Rogen
Tangled,7.8,Mandy Moore,Zachary Levi,Donna Murphy
Spider-Man 3,6.3,Tobey Maguire,Kirsten Dunst,Topher Grace
Captain America: Civil War,7.8,Chris Evans,Robert Downey Jr.,Scarlett Johansson
Harry Potter and the Half-Blood Prince,7.6,Daniel Radcliffe,Emma Watson,Rupert Grint
The Hobbit: The Desolation of Smaug,7.8,Ian McKellen,Martin Freeman,Richard Armitage
The Hobbit: The Battle of the Five Armies,7.4,Ian McKellen,Martin Freeman,Richard Armitage
The Fate of the Furious,6.6,Vin Diesel,Jason Statham,Dwayne Johnson
Avatar,7.9,Sam Worthington,Zoe Saldana,Sigourney Weaver
Superman Returns,6.1,Brandon Routh,Kevin Spacey,Kate Bosworth
The Dark Knight Rises,8.4,Christian Bale,Tom Hardy,Anne Hathaway
Pirates of the Caribbean: Dead Men Tell No Tales,6.6,Johnny Depp,Geoffrey Rush,Javier Bardem
Quantum of Solace,6.6,Daniel Craig,Olga Kurylenko,Mathieu Amalric
The Avengers,8.1,Robert Downey Jr.,Chris Evans,Scarlett Johansson
Pirates of the Caribbean: Dead Man’s Chest,7.4,Johnny Depp,Orlando Bloom,Keira Knightley
Man of Steel,7.1,Henry Cavill,Amy Adams,Michael Shannon
The Chronicles of Narnia: Prince Caspian,6.5,Ben Barnes,Skandar Keynes,Georgie Henley
The Lone Ranger,6.4,Johnny Depp,Armie Hammer,William Fichtner
The Amazing Spider-Man,7.0,Andrew Garfield,Emma Stone,Rhys Ifans
Battleship,5.8,Alexander Skarsgård,Brooklyn Decker,Liam Neeson
Transformers: The Last Knight,5.2,Mark Wahlberg,Anthony Hopkins,Josh Duhamel
Jurassic World,7.0,Chris Pratt,Bryce Dallas Howard,Ty Simpkins
Men in Black 3,6.8,Will Smith,Tommy Lee Jones,Josh Brolin
Transformers: Revenge of the Fallen,6.0,Shia LaBeouf,Megan Fox,Josh Duhamel
Transformers: Age of Extinction,5.6,Mark Wahlberg,Nicola Peltz,Jack Reynor
X-Men: The Last Stand,6.7,Patrick Stewart,Hugh Jackman,Halle Berry
Robin Hood,6.6,Russell Crowe,Cate Blanchett,Matthew Macfadyen
King Kong,7.2,Naomi Watts,Jack Black,Adrien Brody
The Golden Compass,6.1,Nicole Kidman,Daniel Craig,Dakota Blue Richards
Black Panther,7.3,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o
Incredibles 2,7.6,Craig T. Nelson,Holly Hunter,Sarah Vowell
Rogue One: A Star Wars Story,7.8,Felicity Jones,Diego Luna,Alan Tudyk
Finding Dory,7.3,Ellen DeGeneres,Albert Brooks,Ed O'Neill
Toy Story 4,7.7,Tom Hanks,Tim Allen,Annie Potts
Toy Story 3,8.3,Tom Hanks,Tim Allen,Joan Cusack
Iron Man 3,7.2,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow
Guardians of the Galaxy Vol 2,7.6,Chris Pratt,Zoe Saldana,Dave Bautista
Spider-Man 2,7.4,Tobey Maguire,Kirsten Dunst,Alfred Molina
Alice in Wonderland,6.4,Mia Wasikowska,Johnny Depp,Helena Bonham Carter
Skyfall,7.8,Daniel Craig,Javier Bardem,Naomie Harris
The Hobbit: An Unexpected Journey,7.8,Martin Freeman,Ian McKellen,Richard Armitage
Monsters University,7.3,Billy Crystal,John Goodman,Steve Buscemi
Oz the Great and Powerful,6.3,James Franco,Michelle Williams,Rachel Weisz
X-Men: Days of Future Past,8.0,Patrick Stewart,Ian McKellen,Hugh Jackman
The Amazing Spider-Man 2,6.6,Andrew Garfield,Emma Stone,Jamie Foxx
Cars 2,6.2,Owen Wilson,Larry the Cable Guy,Michael Caine
Fast & Furious Presents: Hobbs & Shaw,6.5,Dwayne Johnson,Jason Statham,Idris Elba
Tron: Legacy,6.8,Jeff Bridges,Garrett Hedlund,Olivia Wilde
2012,5.8,John Cusack,Thandiwe Newton,Chiwetel Ejiofor
Fantastic Beasts: The Crimes of Grindelwald,6.5,Eddie Redmayne,Katherine Waterston,Dan Fogler
Terminator Salvation,6.5,Christian Bale,Sam Worthington,Anton Yelchin
Green Lantern,5.5,Ryan Reynolds,Blake Lively,Peter Sarsgaard
Prince of Persia: Sands of Time,6.6,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley
Dark Phoenix,5.7,James McAvoy,Michael Fassbender,Jennifer Lawrence
Transformers: Dark of the Moon,6.2,Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson
The Mummy,5.4,Tom Cruise,Sofia Boutella,Annabelle Wallis
Jack the Giant Slayer,6.3,Nicholas Hoult,Stanley Tucci,Ewan McGregor
Furious 7,7.2,Vin Diesel,Paul Walker,Dwayne Johnson
Star Trek Into Darkness,7.7,Chris Pine,Zachary Quinto,Zoe Saldana
World War Z,7.0,Brad Pitt,Mireille Enos,Daniella Kertesz
The Great Gatsby,7.2,Leonardo DiCaprio,Carey Mulligan,Joel Edgerton
Disney’s A Christmas Carol,,,,
Pacific Rim,6.9,Idris Elba,Charlie Hunnam,Rinko Kikuchi
The Good Dinosaur,6.7,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla
Iron Man,7.9,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard
The Dark Knight,9.1,Christian Bale,Heath Ledger,Aaron Eckhart
Indiana Jones and the Kingdom of the Crystal Skull,6.2,Harrison Ford,Cate Blanchett,Shia LaBeouf
Brave,7.1,Kelly Macdonald,Billy Connolly,Emma Thompson
Kong: Skull Island,6.7,Tom Hiddleston,Samuel L. Jackson,Brie Larson
Star Trek Beyond,7.0,Chris Pine,Zachary Quinto,Karl Urban
Maleficent: Mistress of Evil,6.6,Angelina Jolie,Elle Fanning,Harris Dickinson
Blade Runner 2049,8.0,Harrison Ford,Ryan Gosling,Ana de Armas
Terminator: Dark Fate,6.2,Linda Hamilton,Arnold Schwarzenegger,Mackenzie Davis
Aladdin,6.9,Will Smith,Mena Massoud,Naomi Scott
Thor: Ragnarok,7.9,Chris Hemsworth,Tom Hiddleston,Cate Blanchett
"The Chronicles of Narnia: The Lion, the Witch a…",,,,
Maleficent,7.0,Angelina Jolie,Elle Fanning,Sharlto Copley
Fantastic Beasts and Where to Find Them,7.3,Eddie Redmayne,Katherine Waterston,Alison Sudol
WALL-E,,,,
Rush Hour 3,6.2,Jackie Chan,Chris Tucker,Max von Sydow
The Legend of Tarzan,6.2,Alexander Skarsgård,Rory J. Saper,Christian Stevens
Hugo,7.5,Asa Butterfield,Chloë Grace Moretz,Christopher Lee
Valerian and the City of a Thousand Planets,6.5,Dane DeHaan,Cara Delevingne,Clive Owen
Jupiter Ascending,5.3,Channing Tatum,Mila Kunis,Eddie Redmayne
Mission: Impossible—Fallout,7.7,Tom Cruise,Henry Cavill,Ving Rhames
X-Men: Apocalypse,6.9,James McAvoy,Michael Fassbender,Jennifer Lawrence
The Meg,5.6,Jason Statham,Bingbing Li,Rainn Wilson
Edge of Tomorrow,7.9,Tom Cruise,Emily Blunt,Bill Paxton
Captain Marvel,6.8,Brie Larson,Samuel L. Jackson,Ben Mendelsohn
The Jungle Book,7.4,Neel Sethi,Bill Murray,Ben Kingsley
Inside Out,8.2,Amy Poehler,Bill Hader,Lewis Black
Spider-Man: Homecoming,7.4,Tom Holland,Michael Keaton,Robert Downey Jr.
Suicide Squad,5.9,Will Smith,Jared Leto,Margot Robbie
Up,8.3,Edward Asner,Jordan Nagai,John Ratzenberger
Coco,8.4,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt
